,userID,movieID,tag,timestamp,tagID
1,0,0,politics,1188263867,71
6,0,1,action,1188263755,1
13,1,2,r,1205081506,75
16,2,3,johnny depp,1162147221,46
23,3,4,classic,1188263791,17
26,3,5,classic,1188263782,17
38,4,6,tom hanks,1188264273,91
40,4,7,comedy,1188264228,19
50,5,8,based on a book,1231122288,9
52,5,9,time travel,1184166988,89
53,5,10,time travel,1184166981,89
54,5,11,world war ii,1165555248,98
56,5,12,twist ending,1165555208,94
60,5,13,zombies,1211592818,99
61,5,14,zombies,1211592812,99
62,5,15,zombies,1211592823,99
63,5,16,zombies,1165555226,99
66,5,17,comic book,1165555218,20
67,5,18,zombies,1211592803,99
84,6,19,funny,1188265463,37
92,6,20,fantasy,1188265408,35
96,6,21,comedy,1188265497,19
99,7,22,action,1188265375,1
100,7,22,adventure,1188265375,3
104,8,23,franchise,1196517851,36
105,8,24,based on a book,1213424486,9
106,8,24,imdb top 250,1213424434,42
108,8,25,based on a book,1210845801,9
111,8,26,based on a book,1198823684,9
113,8,27,martial arts,1195557210,52
114,8,28,imdb top 250,1195157483,42
119,8,29,imdb top 250,1221898347,42
120,8,30,directorial debut,1207133904,24
121,8,31,directorial debut,1207128362,24
123,8,32,based on a book,1162262859,9
124,8,33,based on a book,1207043962,9
125,8,33,franchise,1196554216,36
128,8,34,directorial debut,1207133154,24
129,8,35,based on a book,1221868010,9
130,8,36,based on a book,1162264616,9
132,8,37,directorial debut,1207131682,24
133,8,38,cult film,1204569643,23
137,8,39,based on a book,1210468581,9
139,8,40,based on a book,1223701240,9
141,8,41,based on a book,1162262502,9
144,8,42,based on a book,1198827455,9
145,8,43,based on a book,1193266912,9
148,8,44,serial killer,1148728244,83
151,8,45,directorial debut,1207133478,24
154,8,46,directorial debut,1207189395,24
155,8,47,directorial debut,1207188348,24
159,8,48,space,1192620381,84
161,8,49,directorial debut,1207665021,24
162,8,50,based on a book,1210388699,9
164,8,51,based on a book,1162264327,9
165,8,52,directorial debut,1207200137,24
172,8,53,parody,1208761215,69
173,8,54,based on a book,1162264342,9
174,8,55,directorial debut,1207198999,24
175,8,55,drugs,1204430702,28
178,8,56,based on a book,1222146696,9
179,8,56,true story,1222146714,92
180,8,57,based on a book,1162262375,9
185,8,58,serial killer,1210236373,83
186,8,59,parody,1160652800,69
187,8,60,directorial debut,1207200408,24
189,8,61,based on a book,1166969387,9
191,8,62,parody,1196669479,69
192,8,63,biography,1195731354,12
195,8,63,true story,1186715185,92
197,8,64,biography,1215506567,12
198,8,65,based on a book,1162261447,9
202,8,66,directorial debut,1207191141,24
203,8,67,directorial debut,1207201664,24
204,8,68,directorial debut,1207131652,24
207,8,69,based on a book,1197804319,9
211,8,70,based on a book,1223095475,9
213,8,71,based on a book,1207670933,9
